project;month;test_gap_assessment;risk_score;score_LEN;score_COM;score_CLI;score_COC;score_ANF;score_UNF;score_ACF;score_UCF;score_RCF;score_RNF;score_CHF;score_CEN
subject 5;2023-07;safe;0,517118384;0;0;0,088176353;0,090909091;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-07;safe;0,380845839;0;0;0,02004008;0,090909091;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-07;safe;0,380845839;0;0;0,02004008;0,090909091;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-07;safe;0,420925999;0;0;0,04008016;0,090909091;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-07;safe;0,517118384;0;0;0,088176353;0,090909091;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-07;safe;0,586712117;0;0;0,032064128;0,181818182;0;0;0;0;0;0;0,023134407;0,091040952
subject 5;2023-06;risky;1,595240897;0,115021459;0,103773585;0,554487179;-0,909090909;0;0;0;0,043478261;0;0;0,00130321;1
subject 5;2023-06;risky;2,50589898;0,109012876;0,103773585;0,512820513;-0,909090909;0;1;0;0,043478261;0;0;0,00130321;1
subject 5;2023-06;risky;1,292439478;0,099570815;0,113207547;0,286858974;-1;0;0,333333333;0;0,086956522;0;0;0,00130321;1
subject 5;2023-06;risky;3,75517507;0;0;0,798076923;1;0;0;0;0;0;0;0,00130321;0,080162217
subject 5;2023-06;risky;3,072123363;0;0;0,173076923;0,363636364;0;0;0;0;0;0;0,00130321;1
subject 5;2023-06;risky;2,832612874;0;0;0,144230769;0,272727273;0;0;0;0;0;0;0,00130321;1
subject 5;2023-06;risky;4,49869679;0;0;0,25;1;0;0;0;0;0;0;0,00130321;1
subject 5;2023-06;safe;2,832612874;0;0;0,144230769;0,272727273;0;0;0;0;0;0;0,00130321;1
subject 5;2023-06;risky;2,704407746;0;0;0,080128205;0,272727273;0;0;0;0;0;0;0,00130321;1
subject 5;2023-06;risky;2,146706796;0;0;0,253205128;0,727272727;0;0;0;0;0;0;0,00130321;0,093527148
subject 5;2023-06;safe;0,268475789;0;0;0,009615385;0,090909091;0;0;0;0;0;0;0,00130321;0,034365024
subject 5;2023-06;safe;0,281296302;0;0;0,016025641;0,090909091;0;0;0;0;0;0;0,00130321;0,034365024
subject 5;2023-06;safe;0,281296302;0;0;0,016025641;0,090909091;0;0;0;0;0;0;0,00130321;0,034365024
subject 5;2023-06;safe;0,313347584;0;0;0,032051282;0,090909091;0;0;0;0;0;0;0,00130321;0,034365024
subject 5;2023-06;safe;0,390270661;0;0;0,070512821;0,090909091;0;0;0;0;0;0;0,00130321;0,034365024
subject 5;2023-06;safe;0,475934996;0;0;0,022435897;0,181818182;0;0;0;0;0;0;0,00130321;0,034365024
subject 5;2023-06;safe;4,028355033;1;1;0,004807692;0;0;0;0;1;0;0;0,00038416;0,009561904
subject 5;2023-06;safe;0,441394236;0;0;0,025641026;0,181818182;0;0;0;0;0;0;0,00038416;0,013429991
subject 5;2023-04;safe;5,173160173;0,476190476;0,363636364;1;0,666666667;0;0;0;0;0;0;1;1
subject 5;2023-04;risky;8,211199723;0,761904762;1;0,2;0;0;0,333333333;1;0,5;0;0;2,401E-05;0,357992819
subject 5;2023-04;risky;10,66964128;0,447619048;0,272727273;0,45;0,666666667;1;1;1;0;0;0;2,401E-05;0,357992819
subject 5;2023-04;risky;10,56964128;0,447619048;0,272727273;0,4;0,666666667;0;1;1;1;0;0;2,401E-05;0,357992819
subject 5;2023-04;risky;6,546264658;0,533333333;0,363636364;0,3;0,666666667;1;0;0;0,5;0;0;2,401E-05;0,357992819
subject 5;2023-04;risky;5,426784139;0,238095238;0,272727273;0,1;0;0;0;1;0;0;0;2,401E-05;0,357992819
subject 5;2023-04;safe;1,63347214;0,40952381;0,272727273;0,2375;0;0;0;0;0;0;0;0,005314411;0,240767734
subject 5;2023-04;risky;1,842887725;0;0;0,35;0,333333333;0;0;0;0;0;0;0,005314411;0,240767734
subject 5;2023-04;risky;2,288290407;0;0;0,025;1;0;0;0;0;0;0;0,005314411;0,121802409
subject 5;2023-04;risky;1,493385833;0;0;0,375;0,333333333;0;0;0;0;0;0;0,005314411;0,041016788
subject 5;2023-04;safe;1,692661184;0;0;0,375;0,333333333;0;0;0;0;0;0;0,005314411;0,140654464
subject 5;2023-04;safe;1,692661184;0;0;0,375;0,333333333;0;0;0;0;0;0;0,005314411;0,140654464
subject 5;2023-04;safe;4,567323063;1;0,272727273;0,25;0;0;0;0;1;0;0;0,005314411;0,399955101
subject 3;2023-08;risky;6;1;1;1;0;0;0;0;0;0;0;0;1
subject 3;2023-08;risky;4,524173028;0,690839695;0,333333333;0,75;0;0;0;0;0;0;0;0;1
subject 3;2023-08;safe;2,719261157;0,080152672;1;0,333333333;0;0;0;0;0;0;0;0;0,486220909
subject 3;2023-06;safe;0,596357259;0;0;0,047244094;0,25;0;0;0;0;0;0;0;0,000934535
subject 3;2023-06;safe;1,715779832;1;0,666666667;0,023622047;0;0;0;0;0;0;0;0;0,000934535
subject 3;2023-06;safe;0,596357259;0;0;0,047244094;0,25;0;0;0;0;0;0;0;0,000934535
subject 3;2023-06;risky;3,040684493;0;0;0,472440945;0,25;0;0;0;0;0;0;0;0,797901301
subject 3;2023-06;risky;3,105160129;0,710144928;0,5;0,149606299;0;0;0;0;0;0;0;0;0,797901301
subject 3;2023-06;risky;2,942259296;0;0;0,173228346;0,5;0;0;0;0;0;0;0;0,797901301
subject 3;2023-06;risky;3,417950474;0,492753623;0,5;0,212598425;0;0;0;0;0;0;0;0;1
subject 3;2023-06;risky;3,755905512;0;0;0,377952756;0,5;0;0;0;0;0;0;0;1
subject 3;2023-06;risky;3,522544761;0,623188406;1;0,141732283;0;0;0;0;0;0;0;0;0,807945894
subject 3;2023-06;safe;4,663116447;0;0;0,929133858;1;0;0;0;0;0;0;0;0,402424365
subject 3;2023-06;safe;2,875714872;0;0;0,535433071;0,5;0;0;0;0;0;0;0;0,402424365
subject 3;2023-05;risky;0,331338439;0;0;0,021978022;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,331338439;0;0;0,021978022;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,331338439;0;0;0,021978022;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,331338439;0;0;0,021978022;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,331338439;0;0;0,021978022;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;3,906430014;0;0;0,952380952;1;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,331338439;0;0;0,021978022;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;2,155514263;0;0;0,505494505;0,571428571;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,331338439;0;0;0,021978022;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;1,408261516;0;0;0,131868132;0,571428571;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,565770674;0;0;0,139194139;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,389946498;0;0;0,051282051;0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;risky;0,921379029;0,148648649;0,5;0,278388278;-0,142857143;0;0;0;0;0;0;0;0,000834055
subject 3;2023-05;safe;4,688644689;1;1;0,201465201;0,142857143;0;0;0;0;0;0;0;1
subject 3;2023-05;safe;0,788807099;0,243243243;0,25;0;0;0;0;0;0;0;0;0;0,147781928
subject 4;2023-10;safe;0,704035166;0,711598746;0,739130435;0,338461538;-1;0;0;0;0;0;0;0;0,288191454
subject 4;2023-10;risky;4,202022437;0,686520376;1;1;0;0;0;0;0;0;0;0;0,257751031
subject 4;2023-10;risky;2,546288067;0,319749216;0,695652174;0,507692308;0;0;0;0;0;0;0;0;0,257751031
subject 4;2023-10;risky;1,945050923;0,238244514;0,391304348;0,4;0;0;0;0;0;0;0;0;0,257751031
subject 4;2023-10;safe;4,141137124;1;0,956521739;0,092307692;0;0;0;0;0;0;0;0;1
subject 4;2023-07;risky;7,635135135;1;1;0,817567568;1;0;0;0;0;0;0;0;1
subject 4;2023-07;safe;0,924578122;0,04494382;0,038461538;0,060810811;0;0;0;0;0;0;0;0;0,359775571
subject 4;2023-07;safe;2,106162822;0,114606742;0,115384615;0,216216216;-0,166666667;0;0;0;0;0;0;0;0,888536183
subject 4;2023-07;safe;2,106162822;0,114606742;0,115384615;0,216216216;-0,166666667;0;0;0;0;0;0;0;0,888536183
subject 4;2023-06;safe;2,026784004;0,802325581;1;0,111111111;0;0;0;0;0;0;0;0;0,0011181
subject 4;2023-06;risky;2,982353159;0;0;0,69005848;0,8;0;0;0;0;0;0;0;0,0011181
subject 4;2023-06;risky;1,597557838;0;0;0,397660819;0,4;0;0;0;0;0;0;0;0,0011181
subject 4;2023-06;risky;4,039883668;0;0;0,970760234;1;0;0;0;0;0;0;0;0,0491816
subject 4;2023-06;safe;0,546205415;0;0;0,035087719;0,2;0;0;0;0;0;0;0;0,038014988
subject 4;2023-06;safe;3,670175439;1;0,6;0,035087719;0;0;0;0;0;0;0;0;1
subject 4;2023-05;risky;2,613564669;0;0;0,056782334;0,25;0;0;0;0;0;0;0;1
subject 4;2023-05;risky;4,826915298;0,53030303;1;1;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;2,266108076;0,429924242;0,386363636;0;0;0;0;0;0;0;0;0;0,724910099
subject 4;2023-05;safe;3,948832419;0,859848485;0,909090909;0,441640379;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;2,726829264;0,371212121;0,522727273;0,268138801;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;3,874980732;0,827651515;0,886363636;0,432176656;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;2,127860476;0,164772727;0,363636364;0,151419558;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;1,846977912;0,125;0,204545455;0,110410095;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;5,904489014;0,602272727;0,272727273;0,567823344;1;0;0;0;0;0;0;0;0,946921163
subject 4;2023-05;safe;2,714511041;0;0;0,107255521;0,25;0;0;0;0;0;0;0;1
subject 4;2023-05;safe;1,42519038;0,106060606;0,022727273;0,397476341;0,25;0;0;0;0;0;0;0;0,00072491
subject 4;2023-05;safe;3,728071975;1;0,863636364;0,283911672;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;4,826915298;0,53030303;1;1;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;1,907464481;0,132575758;0,068181818;0,205047319;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;1,859524513;0,147727273;0,068181818;0,173501577;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;1,561715987;0,098484848;0,090909091;0,03785489;0;0;0;0;0;0;0;0;0,648306134
subject 4;2023-05;safe;1,411491343;0,037878788;0,045454545;0,015772871;0;0;0;0;0;0;0;0;0,648306134
subject 1;2023-09;safe;1,826234405;0,645833333;0,727272727;0,16;0;0;0;0;0;0;0,5;1,6E-07;0,316564252
subject 1;2023-09;safe;0,533128344;0,5;1;0,2;-0,5;0;0;0;0;0;1;1,6E-07;0,316564252
subject 1;2023-09;risky;4,59999919;0;0;0,8;0,5;0;0;0;0;0;0;8,1E-07;1
subject 1;2023-09;risky;2,836995954;1;0,545454545;0,12;0;0;0;0;0;0;0;8,1E-07;0,52577111
subject 1;2023-09;risky;1,490935348;0,166666667;0,272727273;1;-1;0;0;0;0;0;0;8,1E-07;0,52577111
subject 1;2023-09;risky;1,165971072;0,104166667;0,090909091;0,2;0;0;0;0;0;0;0;8,1E-07;0,285448062
subject 1;2023-08;risky;2,811417412;0;0;0,319148936;0,090909091;0;0;0;0;0;0;0,00038416;0,995842759
subject 1;2023-08;risky;2,865576019;0;0;0,255319149;0,181818182;0;0;0;0;0;0;0,00038416;0,995842759
subject 1;2023-08;risky;2,726311029;0;0;0,276595745;0,090909091;0;0;0;0;0;0;0,00038416;0,995842759
subject 1;2023-08;risky;4,243301087;0;0;0,70212766;0,909090909;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;3,794558341;0;0;0,659574468;0,727272727;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;4,042140546;0;0;0,510638298;1;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;3,612740159;0;0;0,659574468;0,636363636;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;2,866916906;0;0;0,361702128;0,636363636;0;0;0;0;0;0;0,028257609;0,449521493
subject 1;2023-08;risky;3,430921977;0;0;0,659574468;0,545454545;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;2,193010952;0;0;0,404255319;0,181818182;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;2,107904569;0;0;0,361702128;0,181818182;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;4,529568012;0;0;0,936170213;0,818181818;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;3,21815602;0;0;0,553191489;0,545454545;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,968639579;0;0;0,382978723;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;2,278117335;0;0;0,446808511;0,181818182;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;2,022798186;0;0;0,319148936;0,181818182;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,670767238;0;0;0,234042553;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,415448089;0;0;0,106382979;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,543107664;0;0;0,170212766;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,415448089;0;0;0,106382979;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,372894898;0;0;0,085106383;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,767479037;0;0;0,191489362;0,181818182;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,55471308;0;0;0,085106383;0,181818182;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,372894898;0;0;0,085106383;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,372894898;0;0;0,085106383;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,372894898;0;0;0,085106383;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,372894898;0;0;0,085106383;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,372894898;0;0;0,085106383;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,372894898;0;0;0,085106383;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,372894898;0;0;0,085106383;0,090909091;0;0;0;0;0;0;0,028257609;0,52456078
subject 1;2023-08;risky;1,745060039;0;0;0,255319149;0,181818182;0;0;0;0;0;0;0,028257609;0,449521493
subject 1;2023-08;risky;1,745060039;0;0;0,255319149;0,181818182;0;0;0;0;0;0;0,028257609;0,449521493
subject 1;2023-08;risky;1,393029091;0;0;0,170212766;0,090909091;0;0;0;0;0;0;0,028257609;0,449521493
subject 1;2023-08;risky;1,393029091;0;0;0,170212766;0,090909091;0;0;0;0;0;0;0,028257609;0,449521493
subject 1;2023-08;safe;4,063829627;1;1;0,031914894;0;0;0;0;0;0;0;1,6E-07;1
subject 1;2023-08;safe;2,811417412;0;0;0,319148936;0,090909091;0;0;0;0;0;0;0,00038416;0,995842759
subject 1;2023-08;safe;2,865576019;0;0;0,255319149;0,181818182;0;0;0;0;0;0;0,00038416;0,995842759
subject 1;2023-08;safe;2,726311029;0;0;0,276595745;0,090909091;0;0;0;0;0;0;0,00038416;0,995842759
subject 1;2023-08;safe;1,862376405;0,75;0,333333333;0,170212766;0;0;0;0;0;0;0;0,00083521;0,219726375
subject 1;2023-08;safe;1,862376405;0,75;0,333333333;0,170212766;0;0;0;0;0;0;0;0,00083521;0,219726375
subject 1;2023-07;risky;4,818024115;0;0;0,961538462;0,75;0;0;0;0;0;0;1,296E-05;0,697480076
subject 1;2023-07;risky;3,818024115;0;0;0,961538462;0,25;0;0;0;0;0;0;1,296E-05;0,697480076
subject 1;2023-07;risky;3,471870268;0;0;0,538461538;0,5;0;0;0;0;0;0;1,296E-05;0,697480076
subject 1;2023-07;risky;2,664177961;0;0;0,384615385;0,25;0;0;0;0;0;0;1,296E-05;0,697480076
subject 1;2023-07;risky;3,087254884;0;0;0,346153846;0,5;0;0;0;0;0;0;1,296E-05;0,697480076
subject 1;2023-07;risky;2,279562576;0;0;0,192307692;0,25;0;0;0;0;0;0;1,296E-05;0,697480076
subject 1;2023-07;risky;2,203276621;0;0;0,153846154;0,25;0;0;0;0;0;0;0,00065536;0,698119837
subject 1;2023-07;risky;4,515068119;0;0;0,846153846;1;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;3,47660658;0;0;0,576923077;0,75;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;3,47660658;0;0;0,576923077;0,75;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;3,47660658;0;0;0,576923077;0,75;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;2,899683503;0;0;0,538461538;0,5;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;2,899683503;0;0;0,538461538;0,5;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;2,899683503;0;0;0,538461538;0,5;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;2,668914272;0;0;0,423076923;0,5;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;2,668914272;0;0;0,423076923;0,5;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;risky;2,668914272;0;0;0,423076923;0,5;0;0;0;0;0;0;0,00065536;0,411707893
subject 1;2023-07;safe;1,81523512;0;0;0,269230769;0,5;0;0;0;0;0;0;2,401E-05;0,138398796
subject 1;2023-07;safe;1,797587491;0;0;0,230769231;0,25;0;0;0;0;0;0;2,401E-05;0,41803652
subject 1;2023-07;safe;1,81523512;0;0;0,269230769;0,5;0;0;0;0;0;0;2,401E-05;0,138398796
subject 1;2023-07;safe;3,229719471;0;0;0,115384615;0,5;0;0;0;0;0;0;0,00104976;1
subject 1;2023-07;safe;3,365674628;1;1;0,115384615;0;0;0;0;0;0;0;0,00104976;0,567977579
subject 1;2023-07;safe;2,774078596;0,75;1;0,057692308;0;0;0;0;0;0;0;0,00104976;0,45487187
subject 1;2023-07;safe;2,472478096;0;0;0,269230769;0,25;0;0;0;0;0;0;0,00050625;0,717261404
subject 1;2023-06;safe;3,424211154;0,526315789;1;0,282608696;-0,333333333;0;0;0;0;0;0;0,00065536;1
subject 1;2023-06;risky;3,059867943;1;1;0,413043478;-0,333333333;0;0;0;0;0;0;0,0001;0,450273826
subject 1;2023-06;risky;4,502335658;0;0;0,630434783;1;0;0;0;0;0;0;8,1E-07;0,620733451
subject 1;2023-06;safe;2,747246902;0;0;0,108695652;0,333333333;0;0;0;0;0;0;1E-08;0,93159447
subject 1;2023-04;risky;7,333333173;1;1;0,666666667;1;0;0;0;0;0;0;1,6E-07;1
subject 1;2023-04;risky;4,24999984;0,85;1;0,2;0;0;0;0;0;0;0;1,6E-07;1
subject 1;2023-04;safe;5,369854302;0;0;0,933333333;1;0;0;0;0;0;0;1,296E-05;0,751600297
subject 2;2023-12;risky;3,293832047;0;0;0,545454545;1;0;0;0;0;0;0;0;0,101461478
subject 2;2023-12;risky;4,021840259;0,558823529;0,222222222;0,5;1;0;0;0;0;0;0;0;0,120397254
subject 2;2023-12;risky;1,505797479;0,588235294;0,222222222;0,727272727;0;0;0;0;0;0;1;0;0,120397254
subject 2;2023-12;risky;1,3627436;0,176470588;0,333333333;0,318181818;0;0;0;0;0;0;0;0;0,108288021
subject 2;2023-12;risky;0,899879666;0,117647059;0,111111111;0,227272727;0;0;0;0;0;0;0;0;0,108288021
subject 2;2023-12;risky;2,761422169;0,970588235;1;0,318181818;0;0;0;0;0;0;0;0;0,077235149
subject 2;2023-12;safe;1,30512681;0,205882353;0,333333333;0,227272727;0;0;0;0;0;0;0;0;0,155682835
subject 2;2023-12;safe;1,005363383;0,5;0,111111111;0,136363636;0;0;0;0;0;0;0;0;0,060762499
subject 2;2023-12;safe;2,589720737;0,205882353;0,111111111;0,136363636;0;0;0;0;0;0;0;0;1
subject 2;2023-12;safe;1,148522962;0,382352941;0,222222222;0,136363636;0;0;0;0;0;0;0;0;0,135610263
subject 2;2023-12;safe;3,849316159;1;0,555555556;1;0;0;0;0;0;0;0;0;0,146880302
subject 2;2023-12;safe;1,342416585;0,176470588;0,333333333;0,227272727;0;0;0;0;0;0;0;0;0,189033605
subject 2;2023-12;safe;1,342416585;0,176470588;0,333333333;0,727272727;0;0;0;0;0;0;1;0;0,189033605
subject 2;2023-12;safe;1,125839045;0,323529412;0,333333333;0,545454545;0;0;0;0;0;0;1;0;0,189033605
subject 2;2023-11;risky;4,170249751;0;0;0,424242424;1;0;0;0;0;0;0;0;0,660882451
subject 2;2023-11;safe;0,672857673;0,105263158;0,125;0,045454545;0;0;0;0;0;0;0;0;0,175842712
subject 2;2023-11;safe;2,083440757;0,526315789;0,25;0,03030303;0;0;0;0;0;0;0;0;0,623259454
subject 2;2023-11;safe;2,469536274;0,447368421;0,375;0,045454545;0;0;0;0;0;0;0;0;0,778129381
subject 2;2023-11;risky;3,354779069;0,947368421;1;0,257575758;0;0;0;0;0;0;0,333333333;0;0,612796233
subject 2;2023-11;safe;1,637673806;0,105263158;0,125;0,090909091;0;0;0;0;0;0;0;0;0,612796233
subject 2;2023-11;safe;1,952865193;0;0;0,03030303;0,333333333;0;0;0;0;0;0;0;0,612796233
subject 2;2023-11;safe;1,863949723;0,236842105;0,25;0,075757576;0;0;0;0;0;0;0;0;0,612796233
subject 2;2023-11;safe;2,432859111;0;0;0,03030303;0,333333333;0;0;0;0;0;0;0;0,852793192
subject 2;2023-11;risky;3,048489095;0,236842105;0,5;0,46969697;0;0;0;0;0;0;0,333333333;0;0,852793192
subject 2;2023-11;risky;3,373959525;0,868421053;1;0,439393939;0;0;0;0;0;0;1;0;0,813375297
subject 2;2023-11;safe;3,293460925;0,763157895;0,5;0,181818182;0;0;0;0;0;0;0,333333333;0;1
subject 2;2023-11;safe;2,399234808;0,447368421;0,625;0,166666667;0;0;0;0;0;0;0,333333333;0;0,663433194
subject 2;2023-11;safe;2,824954695;0,578947368;0,5;0,212121212;0;0;0;0;0;0;0;0;0,660882451
subject 2;2023-11;safe;2,25896586;0,289473684;0,375;0,136363636;0;0;0;0;0;0;0;0;0,660882451
subject 2;2023-11;safe;2,04903763;0;0;0,03030303;0,333333333;0;0;0;0;0;0;0;0,660882451
subject 2;2023-11;safe;1,851071123;0,131578947;0,125;0,136363636;0;0;0;0;0;0;0;0;0,660882451
subject 2;2023-11;safe;2,528648033;1;0,375;0,606060606;-0,666666667;0;0;0;0;0;0;0;0,637430077
subject 2;2023-11;safe;1,517085035;0,026315789;0,125;0,045454545;0;0;0;0;0;0;0;0;0,637430077
subject 2;2023-11;safe;2,002132882;0;0;0,03030303;0,333333333;0;0;0;0;0;0;0;0,637430077
subject 2;2023-11;safe;2,002132882;0;0;0,03030303;0,333333333;0;0;0;0;0;0;0;0,637430077
subject 2;2023-11;safe;1,686941494;0,105263158;0,125;0,090909091;0;0;0;0;0;0;0;0;0,637430077
subject 2;2023-11;safe;2,054139114;0;0;0,03030303;0,333333333;0;0;0;0;0;0;0;0,663433194
subject 2;2023-11;risky;3,293460925;0,763157895;0,5;0,181818182;0;0;0;0;0;0;0,333333333;0;1
subject 2;2023-11;safe;0,838219143;0,368421053;0,125;0,090909091;0;0;0;0;0;0;0;0;0,081489954
subject 2;2023-10;safe;0,575371762;0,054054054;0,142857143;0,102040816;0;0;0;0;0;0;0,166666667;0;0,170522799
subject 2;2023-10;safe;1,91413152;0,081081081;0,285714286;0,428571429;0;0;0;0;0;0;0,166666667;0;0,428429981
subject 2;2023-10;risky;2,974057624;0,243243243;0,571428571;0,408163265;0;0;0;0;0;0;0,166666667;0;0,754862973
subject 2;2023-10;safe;1,733842626;0,094594595;0,142857143;0,12244898;0;0;0;0;0;0;0;0;0,625746464
subject 2;2023-10;safe;2,124330859;0,702702703;0,571428571;0,265306122;0;0;0;0;0;0;0;0;0,15979367
subject 2;2023-10;risky;2,38081183;0;0;0,530612245;0,5;0;0;0;0;0;0;0;0,15979367
subject 2;2023-10;safe;4,571612085;0;0;0,653061224;1;0;0;0;0;0;0;0;0,632744818
subject 2;2023-10;risky;1,903041087;0,243243243;0,285714286;0,244897959;0;0;0;0;0;0;0,166666667;0;0,525477153
subject 2;2023-10;safe;2,585785342;0,108108108;0,285714286;0,387755102;0;0;0;0;0;0;0;0;0,708226372
subject 2;2023-10;safe;2,657203899;0,297297297;0,142857143;0,367346939;0;0;0;0;0;0;0,166666667;0;0,824511124
subject 2;2023-10;safe;3,432024504;1;1;0,714285714;0;0;0;0;0;0;1;0;0,501726538
